,Sun x,Sun y,Sun z,Magnetometer x,Magnetometer y,Magnetometer z,Earth x,Earth y,Earth z,Angular momentum of wheels x,Angular momentum of wheels y,Angular momentum of wheels z,Sun in view,Current fault
0,3194893318.8293586,151481725328.94254,-11140627553.97739,-9.512694668217158e-07,-1.230638530886693e-06,1.8961646198202866e-07,-2287316.1949368417,-889825.498706099,-6445093.171240876,0.0,0.0,0.0,True,None
1,3140534656.8892193,151017201006.81332,-11493096308.114052,-9.552691921995013e-07,-1.239737661653977e-06,1.9041509617957628e-07,-2295964.620123804,-897842.9708855468,-6440121.227616882,3.88703311789202e-12,9.720099456901705e-13,-1.1240750104357126e-12,True,None
2,3098505832.821972,151122923926.01068,-11545813870.751348,-1.2132224321160792e-06,-1.5585410930417376e-06,2.2906357928000593e-07,-2292620.2442850913,-881326.0361647522,-6417829.201743387,1.1656905931722279e-11,2.92369965290164e-12,-3.377406090280291e-12,True,None
3,3361395705.5949197,151167370507.09183,-12123097981.691418,-1.0796059661042817e-06,-1.4075122245838352e-06,2.200132525831409e-07,-2311278.142823986,-890557.5672611169,-6421403.132818127,2.3309087187097777e-11,5.856002586478877e-12,-6.760660380343669e-12,True,None
4,2920273210.637363,151111009301.67212,-11966886985.093386,-9.232383988046861e-07,-1.1847916481358508e-06,1.7257199601806137e-07,-2321036.579776644,-881592.6665524599,-6438574.8116135765,3.8842301345326834e-11,9.756336349444487e-12,-1.128110143876438e-11,True,None
5,2788242271.460415,151054344466.83133,-11983756324.29287,-1.0487380415786978e-06,-1.3569398200981452e-06,2.02634182125152e-07,-2329853.514703979,-885427.3283424757,-6419491.345883774,5.825368938314385e-11,1.4636944389424678e-11,-1.6939554070897194e-11,True,None
6,3490129992.418974,151072163267.04443,-12092129045.866957,-1.0269513759609633e-06,-1.3269039843630415e-06,1.9914753441527316e-07,-2327597.770484942,-880106.4941591381,-6423552.91737728,8.154042965908061e-11,2.0494424683922908e-11,-2.3742705683923966e-11,True,None
7,3047581289.3761377,151112517455.21515,-12573112132.600166,-1.0012684520634501e-06,-1.3052804372428296e-06,2.0018547312264564e-07,-2338133.176829992,-892407.7199065248,-6420037.842368429,1.0870491354514537e-10,2.7322549345285047e-11,-3.16883533949324e-11,True,None
8,2755414390.0908494,151072542411.51715,-12693334066.122381,-1.0187223125377775e-06,-1.323538852455007e-06,1.9871833275701336e-07,-2352419.7830013423,-886776.1073528003,-6414037.130877185,1.3974336470484774e-10,3.512468277575449e-11,-4.078241549755333e-11,True,None
9,2998613115.7693124,150946221580.45724,-12578253899.573725,-8.697429053146444e-07,-1.1293296167864102e-06,1.6975689989992323e-07,-2356695.375970514,-888822.8881198204,-6430501.553130376,1.7465226651825656e-10,4.3902198543936303e-11,-5.103102720221478e-11,True,None
10,2418287530.374625,151213906514.41565,-13054812585.303604,-1.1515712235408843e-06,-1.5069090710615303e-06,2.2998176247711792e-07,-2348262.4192965836,-896993.4839993764,-6399656.850229702,2.1343200476887449e-10,5.365506511368305e-11,-6.243347262147519e-11,True,None
