,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73278158  0.34003528  0.58941009],[-0.78268768 -0.4407718  -0.43945445],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,[-0.732136    0.34004925  0.59022126],[-0.78391428 -0.43955016 -0.43849066],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
2,[-0.73148908  0.3400413   0.59101598],[-0.78513081 -0.43811414 -0.43775062],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
3,[-0.73082733  0.34003986  0.59183046],[-0.78650134 -0.4366973  -0.43670484],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
4,[-0.73017088  0.3400443   0.59262737],[-0.78766365 -0.43536138 -0.43594316],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
5,[-0.72951993  0.34004516  0.59344362],[-0.78887283 -0.43406585 -0.43504769],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
6,[-0.72886226  0.34004599  0.59424027],[-0.79013754 -0.43262715 -0.43418478],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
7,[-0.7282308   0.34004085  0.59504932],[-0.79139668 -0.43119967 -0.43331068],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
8,[-0.72754935  0.34004617  0.59585524],[-0.79269025 -0.42975118 -0.43238419],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
9,[-0.72688842  0.34004431  0.59664669],[-0.79379246 -0.42875847 -0.4313464 ],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
